SKU Number,Warehouse Quantity
RB911G-5HPacD-QRT,50
RB2011UiAS-IN,31
24HPOW,6
RB5009UG+S+IN,0
CCR2004-16G-2S+PC,305
QME,74
24V2APOW,0
S-31DLC20D,127
RB750Gr3,629
R11e-5HnD,82
18POW,196
48V2A96W,46
R11e-LTE6,59
RB911G-5HPacD-US,80
R11e-LR2,59
RBwAPG-60adkit,0
RBwAPG-5HacD2HnD,9
RBMQS,10
RBLtAP-2HnD&R11e-LTE,5
RBLtAP-2HnD,10
CRS106-1C-5S,59
RBLHGG-60adkit,1
RBLHGG-5HPacD2HPnD-XL,0
RBGrooveA-52HPn-US,39
RBD53iG-5HacD2HnD,262
RB941-2nD-TC,60
RB931-2nD,105
RB750UPr2,0
RB2011-H,16
QM-X,110
CubeG-5ac60adpair,0
LHGGM&EG18-EA,0
PW48V-12V85W,0
CRS354-48P-4S+2Q+RM,0
R11e-LoRa9,15
R11e-LoRa8,62
MTRADC4,8
MTRADC,6
MTP250-53V47-OD,0
MTP250-26V94-OD,12
MT-HotSwapFan,49
MTAS-5G-19D120,5
MTAS-5G-15D120,15
MTAD-5G-30D3-PA,6
MTAD-5G-30D3-4STD,5
MTAD-5G-30D3-4PA,0
MTAD-5G-30D3,51
K-79,0
HGO-LTE-W,19
GPEN21,78
GPEN11,0
G1040A-60WN,9
RBwAPR-2nD&R11e-LoRa9,16
RBwAPR-2nD&R11e-LoRa8,15
RBwAPGR-5HacD2HnD&R11e-4G,0
RBwAPGR-5HacD2HnD,4
RBwAPG-60ad-SA,0
PL7510Gi,24
PL7411-2nD,22
PL7400,63
PL6411-2nD,65
LHGmount,52
GESP,52
DRP-LTM,21
RB750P-PBr2,45
S-55DLC80D,9
Audience,30
RBcAPL-2ND,36
RB5009UPr+S+IN,0
C52iG-5HaxD2HaxD-TC,856
C53UiG+5HPaxD2HPaxD,10
C52iG-5HaxD2HaxD-TC-US,1
C53UiG+5HPaxD2HPaxD-US,0
D53G-5HacD2HnD-TC&EG06-A,151
CRS305-1G-4S+OUT,95
CRS518-16XS-2XQ-RM,141
CSS610-8P-2S+IN,125
RBSXTG-5HPacD-SA-US,0
SXTR&EP06-A,12
XQ+31LC02D,37
XQ+85MP01D,53
XQ+BC0003-XS+,9
XQ+DA0001,18
XQ+DA0003,10
868,2
RB924iR-2nD-BT5&BG77&R11e-LR8,34
RB924iR-2nD-BT5&BG77&R11e-LR9,18
hAP,0
S53UG+M-5HaxD2HaxD-TC&RG502Q-EA,71
RBD53G-5HacD2HnD-TC&EG12-EA,27
S53UG+5HaxD2HaxD-TC&EG18-EA,50
wAP,19
RBwAPGR-5HacD2HnD&R11e-LTE6,27
CRS510-8XS-2XQ-IN,31
CRS504-4XQ-OUT,40
MT13-052400-U15BG,0
L41G-2axD,0
MT13-052400-E15BG,0
RMK-2/10,11
XQ+31LC10D,4
