SKU Number,Warehouse Quantity
INS-3AF-I-G,173
GBE-LR-US,48
USW-Flex-Utility,0
FlexHD-CM-3,14
USW-Flex-Mini-5,0
USW-Flex-Mini,1400
USW-Flex,1325
USW-EnterpriseXG-24,303
FC-SM-100,0
USW-Enterprise-48-PoE,0
AP-5AC-90-HD,20
AMO-5G13,40
USW-48-POE,365
USW-48,541
USW-24-POE,50
USW-24,202
USW-16-POE,3258
USP-RPS,0
AMO-5G10,34
USG-PRO-4,0
USG,0
ACB-ISP-US,96
POE-24-12W-G-WH,0
UACC-OM-SM-10G-S-2,9
UACC-OM-SM-1G-S-2,201
UAP-AC-EDU-US,1
AF60-XG-US,231
AF60-XG,0
LTU-XR,0
UACC-AOC-SFP10-20M,59
UACC-AOC-SFP10-5M,89
UACC-AOC-SFP28-10M,85
UACC-AOC-SFP10-30M,49
UACC-AOC-SFP28-20M,80
UACC-AOC-SFP28-30M,60
UACC-CM-RJ45-MG,69
UACC-LITE-AP-AM,133
UACC-G4-Dome-Arm-Mount,0
UACC-OM-MM-10G-D-2,43
UACC-OM-MM-1G-D-2,24
UACC-OM-MM-10G-D-20,1
UACC-OM-SM-10G-D-2,15
UISP-Dish,6
UISP-Horn,13
UVC-G4-Doorbell-Pro-US,0
UVC-G4-INS-US,1535
LBE-5AC-XR-US,947
LTU-INSTANT-5,0
LTU-INSTANT-5-US,89
LTU-XR-US,771
U6-ENTERPRISE-US,0
U6-ENTERPRISE,0
U6-Extender-US,61
U6-Extender,208
U6-IW-US,0
UACC-AOC-SFP10-10M,64
UACC-AOC-SFP28-5M,134
UACC-PRO-AP-AM,41
UACC-OM-SM-10G-S-20,6
UACC-OM-SM-1G-S-20,37
UDR-US,0
UP-CHIME-US,36
UP-Sense,0
USP-PDU-Pro,191
USW-Mission-Critical-US,0
UVC-AI-360,0
UACC-Cable-C5e-Outdoor-Pro-305M-W,0
UACC-Cable-Patch-Outdoor-1M-BK,90
UACC-Cable-Patch-Outdoor-2M-BK,45
UACC-Cable-Patch-Outdoor-1M-W,95
UACC-Cable-Patch-Outdoor-2M-W,49
UACC-Cable-Patch-Outdoor-3M-BK,7
UACC-Cable-Patch-Outdoor-3M-W,35
UACC-Cable-Patch-Outdoor-5M-BK,3
UACC-Cable-Patch-Outdoor-5M-W,27
UACC-Cable-Patch-Outdoor-8M-BK,8
UACC-Cable-Patch-Outdoor-8M-W,36
UA-Reader,79
U-Cable-Patch-0.3M-RJ45BL,549
U-Cable-Patch-0.3M-RJ45BK,253
AF60-XR-US,0
AF60-XR,0
AFi-P-HD,0
UACC-OM-MM-1G-D-20,1
UACC-CKG2-Plus,34
UISP-Console,117
U-Rack-6U-TL,166
Wave-LR,0
Wave-Nano-US,0
Wave-AP-US,665
UVC-G5-Dome,3425
UVC-G5-Bullet,993
UT-ATA-US,77
Wave-LR-US,36
UVC-AI-Bullet,0
UTP-Touch-White-U,36
UTP-TouchMax-U,40
UTP-Touch-U,55
UBB-XG-US,80
U-LTE-Backup,97
UISP-S-Pro,9
UISP-Connector-SHD,0
WM-W,118
