SKU Number,Warehouse Quantity
N230082L002A,2
SMMB2A,6
WB1811A,0
WB1812A,0
WB2519A,0
WB2607A,0
X2-120,5
XA4-240,2
XD4-130,4
XD4-240,4
XE-4000-MOUNT,2
XE-4000-WL-GYM,1
XE-4010-WL,2
XE-500-MOUNT,0
XE-500-WL,2
XE-6000-MNT-CL,1
XE-6000-MNT-PL,1
XE-6000-TBAR,1
XE-CLIP-KIT-01,0
XE-STAD-OMNI,1
XE-TB-KIT-01,0
XE-THIN-KIT-01,3
XH2-240,5
XK-4000-RDK-CS,1
XK-4000-RDK-TP,2
XMSC-EDU-SUB-12R-1,0
XMSC-EDU-SUB-12R-3,0
XMSC-EDU-SUB-16R-1,0
XMSC-EDU-SUB-16R-3,0
XMSC-EDU-SUB-2R-1,0
XMSC-EDU-SUB-2R-3,0
XMSC-EDU-SUB-2R-5,0
XMSC-EDU-SUB-4R-1,0
XMSC-EDU-SUB-4R-3,0
XMSC-EDU-SUB-4R-5,0
XMSC-EDU-SUB-8R-1,0
XMSC-EDU-SUB-8R-3,0
XMSC-MSP-SUB-2R-1,0
XMSC-MSP-SUB-2R-3,0
XMSC-MSP-SUB-2R-5,0
XMSC-MSP-SUB-4R-1,0
XMSC-MSP-SUB-4R-3,0
XMSC-MSP-SUB-4R-5,0
XMSC-SUB-12R-1,0
XMSC-SUB-12R-3,0
XMSC-SUB-16R-1,0
XMSC-SUB-16R-3,0
XMSC-SUB-2R-1,0
XMSC-SUB-2R-3,0
XMSC-SUB-2R-5,0
XMSC-SUB-4R-1,0
XMSC-SUB-4R-3,0
XMSC-SUB-4R-5,0
XMSC-SUB-8R-1,0
XMSC-SUB-8R-3,0
XMSE-LIC-100,0
XMSE-LIC-1000,0
XMSE-LIC-20,0
XMSE-LIC-200,0
