SKU Number,Warehouse Quantity,Cost
TOF-2400-8V-4,9,46.00
S+85DLC03D,100,46.39
CRS328-4C-20S-4S+RM,3,355.00
5VPOW,13,7.00
CCR1036-8G-2S+EM,0,"1,130.81"
CubeG-5ac60ay,2,127.00
CubeG-5ac60ay-SA,14,165.00
CubeG-5ac60ay-US,100,127.00
RBSXTsqG-5acD-US,1,54.65
CRS318-16P-2S+OUT,100,246.00
CubeG-5ac60ad-US,54,111.95
RB951Ui-2nD,19,35.68
CCR1072-1G-8S+,60,"2,699.27"
CRS310-1G-5S-4S+IN,100,157.00
RB2011UiAS-RM,64,93.80
CRS354-48G-4S+2Q+RM,0,510.00
CubeG-5ac60ay-SA-US,100,165.00
ACRPSMA,100,10.00
ACMMCX,0,5.45
ACUFL,100,11.00
CCR2004-1G-12S+2XS,71,482.79
CCR2004-1G-2XS-PCIe,0,155.00
CRS310-1G-5S-4S+OUT,62,218.00
CRS318-1Fi-15Fr-2S-OUT,100,138.50
CSS610-8G-2S+IN,0,96.34
CCR2004-16G-2S+,0,368.34
CRS312-4C+8XG-RM,93,578.61
CRS109-8G-1S-2HnD-IN,1,133.19
CRS112-8G-4S-IN,7,134.37
CRS317-1G-16S+RM,100,405.00
CRS326-24G-2S+RM,100,184.55
CSS326-24G-2S+RM,92,135.70
RB941-2nD,100,20.69
RBwAPG-60ad,57,91.99
48POW,31,19.44
RBCube-60ad,0,72.41
ACOMNIRPSMA,51,6.02
ACSWI,100,9.95
XS+DA0001,6,24.34
GPeR,88,21.00
S+AO0005,39,41.12
RB760iGS,0,62.85
12POW150,29,84.29
nRAYG-60adpair,1,260.97
QMP-LDF,58,4.90
R11e-5HacT,99,41.02
RB1100Dx4,10,311.03
RB911G-5HPacD,20,60.64
RBcAP2nD,3,41.93
RBD25G-5HPacQD2HPnD-US,0,149.57
RBOmniTikU-5HnD-US,0,78.25
RBGroove52HPn-US,0,47.12
CCR2216-1G-12XS-2XQ,100,"2,159.00"
CRS504-4XQ-IN,50,640.00
CCR1009-7G-1C-1S+,44,429.72
CRS328-24P-4S+RM,0,467.00
CCR1009-7G-1C-PC,0,374.72
CCR2116-12G-4S+,0,747.00
RB1100AHx4,39,246.53
RBGPOE,39,4.64
RB911G-5HPacD-QRT,50,164.00
RB2011UiAS-IN,31,93.80
24HPOW,6,19.51
RB5009UG+S+IN,0,166.77
CCR2004-16G-2S+PC,100,362.00
QME,0,7.35
24V2APOW,0,17.48
S-31DLC20D,100,18.66
RB750Gr3,100,62.50
R11e-5HnD,82,27.21
18POW,100,7.91
48V2A96W,37,39.97
R11e-LTE6,47,89.15
RB911G-5HPacD-US,80,60.64
R11e-LR2,59,53.00
RBwAPG-60adkit,0,182.28
RBwAPG-5HacD2HnD,0,72.07
RBMQS,4,23.08
RBLtAP-2HnD&R11e-LTE,5,195.24
RBLtAP-2HnD,4,157.61
CRS106-1C-5S,29,46.73
RBLHGG-60adkit,0,275.87
RBLHGG-5HPacD2HPnD-XL,0,182.34
RBGrooveA-52HPn-US,32,62.17
RBD53iG-5HacD2HnD,100,94.50
RBD25G-5HPacQD2HPnD,0,140.06
RBD22UGS-5HPacD2HnD-15S,100,150.75
RB941-2nD-TC,49,21.80
RB931-2nD,85,18.81
RB750UPr2,24,53.96
RB2011-H,16,8.21
QM-X,100,4.50
CubeG-5ac60adpair,0,225.29
LHGGM&EG18-EA,0,262.00
PW48V-12V85W,0,39.52
CRS354-48P-4S+2Q+RM,0,826.07
R11e-LoRa9,15,66.68
R11e-LoRa8,62,66.68
MTRADC4,8,135.00
MTRADC,6,39.00
MTP250-53V47-OD,0,99.00
MTP250-26V94-OD,0,99.00
MT-HotSwapFan,49,37.00
MTAS-5G-19D120,5,106.15
MTAS-5G-15D120,15,55.00
MTAD-5G-30D3-PA,6,195.00
MTAD-5G-30D3-4STD,5,538.47
MTAD-5G-30D3-4PA,0,699.00
MTAD-5G-30D3,51,157.00
K-79,67,6.00
HGO-LTE-W,19,7.35
GPEN21,72,33.00
GPEN11,100,13.50
G1040A-60WN,9,49.75
RBwAPR-2nD&R11e-LoRa9,16,131.25
RBwAPR-2nD&R11e-LoRa8,15,131.25
RBwAPGR-5HacD2HnD&R11e-4G,0,142.12
RBwAPGR-5HacD2HnD,4,110.03
PL7510Gi,24,45.83
PL7411-2nD,22,39.73
